"Staff Name","Year","Month","DOB","Gender","Teacher ID","Email Address","Mobile Num","Blood Group","Subject","Father’s Name","Father’s Occ","Mother’s Name","Mother’s Occ","Nationality","Religion","Category","Lang Spoken","Lang Written","Contact Add","Ofl Address","Emergency Contact Num","Class Category","Qualification","Year Of Passing","Total Marks","School Name","CTC","Bank Name","Branch Name","Account Num","IFSC Cde","UAN Num","EPF Num","ESI Num","Edit Name","Disable Teacher Reason","Description","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11016","name16@khpkhklj.mailosaur.net","9000001016","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001016","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101016","IDFC0123128","200202020216","10100122020216","1020200101025","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11017","name17@khpkhklj.mailosaur.net","9000001017","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001017","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101017","IDFC0123129","200202020217","10100122020217","1020200101026","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11018","name18@khpkhklj.mailosaur.net","9000001018","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001018","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101018","IDFC0123130","200202020218","10100122020218","1020200101027","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11019","name19@khpkhklj.mailosaur.net","9000001019","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001019","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101019","IDFC0123131","200202020219","10100122020219","1020200101028","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11020","name20@khpkhklj.mailosaur.net","9000001020","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001020","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101020","IDFC0123132","200202020220","10100122020220","1020200101029","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11021","name21@khpkhklj.mailosaur.net","9000001021","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001021","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101021","IDFC0123133","200202020221","10100122020221","1020200101030","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11022","name22@khpkhklj.mailosaur.net","9000001022","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001022","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101022","IDFC0123134","200202020222","10100122020222","1020200101031","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11023","name23@khpkhklj.mailosaur.net","9000001023","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001023","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101023","IDFC0123135","200202020223","10100122020223","1020200101032","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11024","name24@khpkhklj.mailosaur.net","9000001024","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001024","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101024","IDFC0123136","200202020224","10100122020224","1020200101033","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11025","name25@khpkhklj.mailosaur.net","9000001025","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001025","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101025","IDFC0123137","200202020225","10100122020225","1020200101034","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11026","name26@khpkhklj.mailosaur.net","9000001026","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001026","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101026","IDFC0123138","200202020226","10100122020226","1020200101035","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11027","name27@khpkhklj.mailosaur.net","9000001027","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001027","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101027","IDFC0123139","200202020227","10100122020227","1020200101036","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11028","name28@khpkhklj.mailosaur.net","9000001028","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001028","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101028","IDFC0123140","200202020228","10100122020228","1020200101037","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11029","name29@khpkhklj.mailosaur.net","9000001029","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001029","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101029","IDFC0123141","200202020229","10100122020229","1020200101038","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11030","name30@khpkhklj.mailosaur.net","9000001030","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001030","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101030","IDFC0123142","200202020230","10100122020230","1020200101039","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11031","name31@khpkhklj.mailosaur.net","9000001031","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001031","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101031","IDFC0123143","200202020231","10100122020231","1020200101040","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11032","name32@khpkhklj.mailosaur.net","9000001032","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001032","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101032","IDFC0123144","200202020232","10100122020232","1020200101041","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11033","name33@khpkhklj.mailosaur.net","9000001033","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001033","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101033","IDFC0123145","200202020233","10100122020233","1020200101042","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11034","name34@khpkhklj.mailosaur.net","9000001034","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001034","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101034","IDFC0123146","200202020234","10100122020234","1020200101043","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11035","name35@khpkhklj.mailosaur.net","9000001035","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001035","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101035","IDFC0123147","200202020235","10100122020235","1020200101044","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11036","name36@khpkhklj.mailosaur.net","9000001036","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001036","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101036","IDFC0123148","200202020236","10100122020236","1020200101045","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11037","name37@khpkhklj.mailosaur.net","9000001037","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001037","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101037","IDFC0123149","200202020237","10100122020237","1020200101046","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11038","name38@khpkhklj.mailosaur.net","9000001038","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001038","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101038","IDFC0123150","200202020238","10100122020238","1020200101047","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11039","name39@khpkhklj.mailosaur.net","9000001039","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001039","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101039","IDFC0123151","200202020239","10100122020239","1020200101048","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11040","name40@khpkhklj.mailosaur.net","9000001040","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001040","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101040","IDFC0123152","200202020240","10100122020240","1020200101049","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11041","name41@khpkhklj.mailosaur.net","9000001041","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001041","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101041","IDFC0123153","200202020241","10100122020241","1020200101050","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11042","name42@khpkhklj.mailosaur.net","9000001042","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001042","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101042","IDFC0123154","200202020242","10100122020242","1020200101051","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11043","name43@khpkhklj.mailosaur.net","9000001043","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001043","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101043","IDFC0123155","200202020243","10100122020243","1020200101052","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11044","name44@khpkhklj.mailosaur.net","9000001044","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001044","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101044","IDFC0123156","200202020244","10100122020244","1020200101053","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11045","name45@khpkhklj.mailosaur.net","9000001045","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001045","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101045","IDFC0123157","200202020245","10100122020245","1020200101054","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11046","name46@khpkhklj.mailosaur.net","9000001046","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001046","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101046","IDFC0123158","200202020246","10100122020246","1020200101055","Sundar","Na","Na","","","","","","","",""
"Sam","1998","Jan","01/01/1998","Male","11047","name47@khpkhklj.mailosaur.net","9000001047","A+","Tamil","XXX","XXX","YYY","YYY","NA","NA","MBC","na","Na","Add","Velacherry","9000001047","Primary","B.Tech","2015","750","XXX Univ","100000","IDFC","Teynampet","10001010101047","IDFC0123159","200202020247","10100122020247","1020200101056","Sundar","Na","Na","","","","","","","",""
